Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt0365545,no,yes,no,no,no,no,6,"Maurie A. Chandler, Benedict Carver, Danielle Lyn"
tt0435651,no,yes,no,no,no,no,6,"Jep Hill, Paul H. Maritsas, Jefferson Mays, Chris Pinkston, Cameron Monaghan, Ryan Tedder, Connor Rickman, Odeya Rush, Brenton Thwaites, Emma Tremblay"
tt0443465,no,yes,no,no,no,no,6,"Mark Kassen, Yvette Lera, Daniel Spink, Alice Eve, Russell Lissack, Kele Okereke, Scott Evans, Emma Fitzpatrick, Maria Shamkalian"
tt0458413,no,yes,no,no,no,no,6,"Enrique Arce, Azealia Banks, Michael Kiwanuka"
tt0460890,no,yes,no,no,no,no,6,Oliver Thornton
tt0469021,no,no,no,no,no,no,6,"Darren Boyd, Lucy Briers, Steve Coogan, Phil Cornwell, Simon Greenall, Nigel Lindsay, Declan Lowney, Patrick Marber, Felicity Montagu, Martin Glyn Murray, Jonathan Merrell, Dan Mersh, Diane Morgan, Andrew Roachford, Jessica Knappett, Tim Key"
tt0481499,yes,no,no,no,no,no,7,"Clark Duke, Dominique Louis, Chris Sanders, Owl City, Brittany Cope"
tt0762138,no,yes,no,no,no,no,5,"Max Barry, A.J. Shively, Gene Streeper"
tt0775440,no,no,no,no,no,no,4,"Brian Langman, Jasi Cotton Lanier, Anthony Reynolds, Russell Towery, Bruce Winant, Adam Alleca, Todd Manes, Joseph Cintron, Paul Bednarz, Ben White, Alex ter Avest, Angela Davis, Clark Sarullo, Gaby Leyner"
tt0787474,yes,no,no,no,no,no,6,"Tracy Morgan, Isaac Hempstead Wright"
tt0790736,no,no,no,no,no,no,5,"Mary-Louise Parker, Larry Joe Campbell, Robyn Carlsson, Jason Cox, Cheyenne Ellis, James Lin, Eugene McCarthy, Matt McColm, Mike O'Neal, Devin Ratray, Megan Blake, Martin Schaer, Kenny Wong, Nicholaus Arson, Samir Patel, Catherine Kresge, Clay Chamberlin, Marisa Miller, Zoe Hartman, Jeff Medeiros, Luis Moco, Piper Mackenzie Harris, Cris Mertens, Andrew Rogala, Michael Yebba, Shawn Doherty, Marvin Chua, Kristina Ellery, Haytham Kandil, Kevin Pasdon, Alex Bussell, Jeffrey Malick, Lee Cunningham"
tt0795461,no,no,no,no,no,no,3,"Simon Rex, Shad Moss, Tyler Posey, Ashley Tisdale, Katt Williams, Lil Duval, Erica Ash, Scot Nery, Lane Carlock, Mike Kasem, Donna Harrison, Shereé Whitfield, Marisa Saks, Anna Skidanova"
tt0817545,no,yes,no,no,no,no,5,"Kainoa Kilcher, Lary Love Dolley"
tt0825283,no,no,no,no,no,no,3,"Karla Zamudio, Jonas Talkington, Luke Gregory Crosby, Jenna Marbles, Lyliana Wray"
tt0829150,no,yes,no,no,no,no,6,"Dominic Borrelli, Sarah Gadon, Gary Whelan, Glen Barry, Scott Hinds, Luke Evans, Ferdinand Kingsley, Zach McGowan, Greg Burridge, Art Parkinson, Jakub Gierszal, Niall O'Donnell, Shane McCaffrey, Tyrone Kearns"
tt0837156,no,no,no,no,no,no,6,"Tara Buck, Sonya Eddy, Lindsay Hollister, Joe Manganiello, Dave Power, Robert R. Shafer, Katherine VanderLinden, Amber Lily"
tt0864835,yes,no,no,no,no,no,6,"Peter Andre, Guillaume Aretos, Leila Birch, Robert Cait, Walt Dohrn, Jess Harnell, Pat Musick, Steve Valentine, Ariel Winter, Max Charles, Lauri Fraser"
tt0884726,yes,no,no,no,no,no,5,"Lea Michele, Ryan Carroll II"
tt0910885,no,yes,no,no,no,no,5,"Aaron Tippin, Amara Miller"
tt0920462,no,yes,no,no,no,no,4,"Takehiro Hira, Momoki Yamada, Kôko Itô"
tt10003008,no,yes,no,no,no,no,5,"Joe Swanberg, Jeremy Allen White"
tt10039344,no,no,no,no,no,no,5,"Lana McKissack, Lil Nas X, Jordan Calloway, Tom Segura, Jason M. Norman, Elizabeth Lail, Jeannie Elise Mai"
tt10047958,no,no,no,no,no,no,5,Dawna Lee Heising
tt10059518,no,no,no,no,no,no,6,"J.J. Echavarria, Jennifer Jane, Caren Pistorius, Austin P. McKenzie"
tt10060094,no,yes,no,no,no,no,5,"Ella Kenion, Quincy Brown, James Furey, Josh Whitehouse, Isabelle Franca"
tt10081762,no,yes,no,no,no,no,6,Jitse Jonathan Buitnik
tt10096842,no,no,no,no,no,no,4,"Sabina Gadecki, James Cusati-Moyer"
tt10126136,no,no,no,no,no,no,4,"Jade Bulmer, Philip Mawdsley, Matt Routledge, Chris Jones, David Blackwell"
tt10131024,no,yes,no,no,no,no,6,Rainey Qualley
tt10149868,no,no,no,no,no,no,5,Tyler Michaels
tt10183816,no,no,no,no,no,no,5,"Jessie T. Usher, Camila Mendes"
tt10196398,no,yes,no,no,no,no,6,"Albert Dupontel, Christophe Julien, Nicolas Marié"
tt10218912,no,yes,no,no,no,no,7,"Lea Herman, Matthew Camp"
tt10228134,no,no,no,no,no,no,5,"Heidi Jo Markel, Antony Tanev"
tt10229558,no,no,no,no,no,no,6,Dylan Spector
tt10230422,no,yes,no,no,no,no,5,"Bobby Deol, Vishwajeet Pradhan, Sameer Paranjape, Anmol Dhiman"
tt10247678,no,no,no,no,no,no,4,Alexander Reid
tt10263320,no,no,no,no,no,no,3,"Ömer Basdogan, Buket Dereoglu, Damla Aslanalp, Enes Batur, Yusuf Aktas"
tt10265034,no,yes,no,no,no,no,6,Randolph West
tt10272386,no,yes,no,no,no,no,8,"Philippe Carcassonne, Ayesha Dharker, David Parfitt, Jamie D. Allen, Max Pirkis, Florian Zeller, Maria Andriani Andritsi"
tt10274284,no,yes,no,no,no,no,6,"Gregg Donovan, Edwin A. Santos, Robin Bain, Mark Slater, George Cortez, Emily Cheree, Joseph Fernandez"
