Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt0137204,yes,no,no,no,no,no,8,Anthony Harrison
tt0464054,no,no,no,no,no,no,7,Jim Vines
tt0481499,yes,no,no,no,no,no,7,"Clark Duke, Dominique Louis, Chris Sanders, Owl City, Brittany Cope"
tt0839742,no,yes,no,no,no,no,7,Vasanth Santosham
tt10004368,no,yes,no,no,no,no,7,"Zofia Stafiej, Marek Sawicki, Mariusz Witkowski, Filip Perkowski, Piotr Domalewski"
tt10044220,no,no,no,no,no,no,7,Klara Fiolic
tt10127760,no,yes,yes,no,no,no,7,Filip Mayer
tt10199664,no,yes,no,no,no,no,7,"Nisrin Erradi, Maryam Touzani"
tt10218912,no,yes,no,no,no,no,7,"Lea Herman, Matthew Camp"
tt10244726,no,no,no,no,no,no,7,Fernando Alvim
tt10272386,no,yes,no,no,no,no,8,"Philippe Carcassonne, Ayesha Dharker, David Parfitt, Jamie D. Allen, Max Pirkis, Florian Zeller, Maria Andriani Andritsi"
tt10290062,no,yes,no,no,no,no,7,Rano Karno
tt10311018,no,yes,no,no,no,no,7,Ekin Koç
tt10366168,no,no,no,no,yes,no,7,Matthew Dale
tt10366806,no,yes,no,yes,no,no,7,Aleksandr Galibin
tt10370380,no,yes,no,yes,no,no,7,"Kuba Sprenger, Philipp Christopher, Marcel Sabat, Konstantin Frank"
tt10394738,no,no,yes,no,yes,no,7,"Greta Thunberg, Svante Thunberg"
tt10394822,no,yes,yes,no,no,no,7,"Moira Tabina Zayn, Laura Basuki"
tt10417622,no,no,no,no,no,no,7,"Dylan Skolnick, Wayne Townsend"
tt10438500,no,yes,no,no,no,no,7,"Lucia Sardo, Mauro Spitaleri, Catena Fiorello, Tania Bambaci"
tt10443794,no,no,no,no,yes,no,7,Sammy McIlroy
tt10497656,no,no,no,no,no,no,7,Liam Pemberton
tt10534996,yes,yes,yes,no,no,no,7,Sílvia Pérez Cruz
tt10539230,no,no,no,no,no,no,7,"Michael Baderschneider, Lutz Scheffer, Berit Künnecke"
tt10566928,no,yes,no,no,no,no,7,Srna Lango
tt10583170,no,yes,no,no,no,no,7,"Jirí Havelka, Pavla Tomicová, Dagmar Havlová, David Novotný, Vojtech Kotek, Klára Melísková, Tereza Ramba"
tt10608464,no,yes,no,no,no,no,7,"Maya Kenig, Ester Rada"
tt10627530,no,yes,no,no,no,no,8,"Flash Gianni Rose, Wendell Kinney"
tt10662310,no,yes,no,no,no,no,7,Francesca Hayward
tt10692788,no,yes,no,no,no,no,7,Alex Smith
tt10736506,yes,no,no,no,no,no,7,"Kensuke Sasaki, Kaori Fukuhara"
tt10741846,no,no,yes,no,yes,no,7,Fernanda Gordon
tt10749760,no,yes,no,no,no,no,7,Sami Bouajila
tt10756184,no,no,no,no,no,no,7,Hus Miller
tt10795144,no,yes,no,no,no,no,7,Meryll Soriano
tt10795930,no,yes,yes,no,no,no,7,Beby Tsabina
tt10827792,no,yes,no,no,no,no,7,Andreas C. Tselepos
tt10879920,no,yes,no,no,no,no,7,"Alfredo Castro, Martín Sepúlveda"
tt10901588,no,yes,no,no,no,no,7,Sumire
tt10975520,no,yes,no,no,no,no,7,Tai-Bo
tt11003218,no,yes,no,no,no,no,7,"David Knell, Alex Wolff, Sean Tarjyoto, Brian Sutherland, Elijah Ungvary, Lex Damis"
tt11034894,no,no,no,no,no,no,7,"Daniel Christensen, Thomas Mraz"
tt11068166,no,yes,no,no,no,no,7,Catherine Paillé
tt11081744,no,yes,no,no,no,no,7,"Gordan Kicic, Vladislava Djordjevic, Snezana van Houwelingen, Nina Jankovic"
tt1109624,no,no,no,no,no,no,7,"Ross Boatman, Hugh Bonneville, Tim Downie, Llewella Gideon, Hamish McColl, Eddie Nestor, Byron Wallen, Madeleine Worrall, Catherine Shepherd, Tom Meeten, Gus Brown, Madeleine Harris, Samuel Joslin, Johnny Derbyshire"
tt11127680,no,yes,no,no,no,no,7,"Philip Barantini, Lourdes Faberes, Bart Ruspoli, Ray Panthaki, Gary Lamont"
tt11223148,no,yes,no,no,no,no,7,"Vedrana Bozinovic, Dzenita Imamovic, Dino Sarija"
tt11226258,no,no,no,no,yes,no,7,Judd Overton
tt11241510,no,no,no,no,no,no,7,"Mart Sander, Väino Puura"
tt11281950,no,yes,yes,no,no,no,8,Hazar Deniz BG
tt11317142,no,yes,no,no,no,no,7,"Deborah Offner, Cilda Shaur, Rachel Sennott"
tt11321572,no,yes,no,no,no,no,7,Bruno Peixoto
tt11327514,no,yes,no,no,no,no,7,"Voltaire Colin Council, Jane McNeill, Sophia Lillis, Bennett Todd, Colton Ryan"
tt11376010,no,no,no,no,no,no,7,"Qyoko Kudo, George Keywood, Kyary Pamyu Pamyu, Allan Mustafa"
tt11389868,no,no,no,no,no,no,7,Miya Cech
tt11394180,no,yes,yes,no,yes,no,7,Travis W. Sproul
tt11394182,yes,no,no,no,yes,no,7,Aleks Krotoski
tt11454066,no,no,no,no,yes,no,7,"Pablo Marquez, Coco Arquette, Garett Bischoff"
tt11464826,no,yes,no,no,yes,no,7,"Laurie Lennard, Kara Hayward"
tt11466222,no,no,no,no,yes,no,7,"Dave England, Steve-O, Mike Estes, Compston Wilson, Brandon Leffler, Aaron Homoki"
tt11519834,no,no,no,no,no,no,7,"Polina Vasylyna, Julia Beliak"
tt11559472,no,yes,no,no,no,no,7,Tasha Connor
tt11586384,no,yes,no,no,no,no,7,Johannes Grenzfurthner
tt11612890,no,no,no,no,no,no,7,"Bruce Bennett, Samantha Baugnon, Brenna D'Amico, Ryan DeLaney"
tt11650226,no,no,no,no,no,no,7,Con O'Neill
tt11657662,yes,no,no,no,no,no,7,"Darryl Kurylo, Jennie Kwan, Michaela Dietz"
tt11767722,no,yes,no,no,no,no,7,"Majid Majidi, Mohammadreza Vakili"
tt11771704,no,yes,no,no,no,no,7,"Burak Karaman, Bedir Bedir"
tt11847410,no,yes,no,no,no,no,7,"Peymon Maskan, Megan Park"
tt11891870,no,yes,no,no,no,no,7,Kani Kusruti
tt11941248,no,yes,no,no,no,no,7,Jeong-Ah Kim
tt12166434,no,no,no,no,no,no,7,"Sergey Strelnikov, Roman Lutskyi"
tt12187586,no,no,no,yes,yes,no,7,Marianne Hill
tt12223548,no,yes,no,no,no,no,7,Omar Shaker
tt12246266,no,yes,no,no,no,no,7,"Ali Suliman, Anna Unterberger"
tt12421878,no,yes,no,no,no,no,7,"Léon Lambers, Jamie Munsey, Amy Homberg"
tt12519030,no,no,no,no,no,no,7,"Jarmo Puskala, Sophia Heikkilä"
tt12530960,no,yes,no,no,no,no,7,"Eri Murakawa, Yûki Furukawa"
tt12719846,no,yes,no,no,no,no,7,"Gusztáv Dietz, Éva Füsti Molnár, Anikó Haffner, Xénia Molnár, Ferenc Fandi, Anita Fábián, Réka Derzsi, Zoltán Rák, Dániel Baki, Áron Darabont"
tt12731980,no,no,no,no,no,no,7,"Michael Hagerty, Scott Haze, Gavin Lewis"
tt12735306,no,yes,no,no,no,no,7,Chengpeng Dong
tt12789558,no,yes,yes,no,no,no,7,"Ciarán Hinds, Joyce Branagh, James O'Donnell, Josie Walker, Haris Zambarloukos, Olivia Flanagan, Caitriona Balfe, Colin Morgan"
tt12801262,yes,no,no,no,no,no,7,"Marco Barricelli, Emma Berman, Giacomo Gianniotti, Jack Dylan Grazer, Saverio Raimondo"
tt12856788,no,no,no,no,no,no,7,"Mithun Purandare, Palak Singh"
tt12865416,yes,no,no,no,yes,no,9,Emil Constantinescu
tt13013820,no,yes,no,no,no,no,7,Faisal Khan
tt13033542,no,no,no,no,no,no,8,Suppasit Jongcheveevat
tt13049516,no,no,no,no,no,no,7,"Lar Park-Lincoln, Thomas Rivas"
tt13107800,no,yes,no,no,no,no,7,"Claudio Bigagli, Elvio La Pira, Martina Catalfamo"
tt13150564,no,no,yes,no,yes,no,7,Gabriela Sabatini
tt13182756,no,yes,yes,no,no,no,7,Nicholas Ralph
tt13217694,no,yes,no,no,no,no,8,Namewee
tt13324510,no,no,no,no,no,no,7,Amirreza Alizadeh
tt13327258,no,no,no,no,no,no,7,"Matthew Baume, Jinkx Monsoon, Brendan Haley"
tt13328824,no,yes,no,no,no,no,7,Petri Poikolainen
tt13424422,yes,no,no,no,no,no,7,"Yoshitsugu Matsuoka, Inori Minase"
tt13612010,no,yes,no,no,no,no,7,Unique Priscilla
